Date,city,Consumption_GWh,temperature_2m_max,temperature_2m_mean,temperature_2m_min,apparent_temperature_max,apparent_temperature_mean,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,precipitation_hours,weather_code,wind_speed_10m_max,wind_gusts_10m_max,et0_fao_evapotranspiration
2/7/2023,abudhabi,156.48,32.2,24.2,17.5,28.2,22.2,16.5,0,0,0,0,0,3,23.9,39.2,5.96
2/8/2023,abudhabi,164.06,25,22.5,19.8,26.6,22.3,18.5,0,0,0,0,0,3,25.9,42.1,4.27
2/9/2023,abudhabi,182.36,22.1,20.6,18.9,19.8,16.2,13.5,0,0,0,0,0,3,39.7,60.1,5.81
2/10/2023,abudhabi,188.86,20.6,19,17.9,16.9,14.7,12.3,0,0,0,0,0,2,44.1,63,4.77
2/11/2023,abudhabi,182.06,22.5,19.8,17.6,21.7,18.6,15.4,0,0,0,0,0,0,22.5,33.5,4.04
2/12/2023,abudhabi,178.61,26.2,20.4,15.9,27.4,20.7,16.4,0,0,0,0,0,2,19.5,31.3,3.68
2/13/2023,abudhabi,176.39,32.1,23.9,18.1,28.6,21.5,15.8,0,0,0,0,0,3,25.1,41,5.79
2/14/2023,abudhabi,162.26,33.4,24.5,18.5,29.7,22.1,15.7,0,0,0,0,0,3,23.9,39.2,6.17
2/15/2023,abudhabi,171.36,32.8,24.9,19.1,27.4,21.1,15.1,0,0,0,0,0,3,33.5,51.5,7.45
2/16/2023,abudhabi,174.47,27.5,23.3,20.4,26.2,21.1,16.6,0,0,0,0,0,3,24.3,34.2,5.86
2/17/2023,abudhabi,192.69,23.4,21.1,19.4,23.6,21,18.3,0,0,0,0,0,1,29.4,46.8,3.69
2/18/2023,abudhabi,184.12,22.3,20.1,18.8,20.5,18.2,17,0,0,0,0,0,0,31.7,50.4,4
2/19/2023,abudhabi,158.84,21.8,19.6,17.9,19.9,17.3,16.2,0,0,0,0,0,1,32.2,50.8,4.17
2/20/2023,abudhabi,183.89,21.8,19.8,18.5,19.2,17.4,16.1,0,0,0,0,0,3,31.7,50.4,4.27
2/21/2023,abudhabi,175.38,22.8,20.1,18.1,22,19.1,16.8,0,0,0,0,0,3,22.1,37.4,4.12
2/22/2023,abudhabi,171.88,24.7,21,17,22.8,19.9,16.7,0,0,0,0,0,3,19.5,33.8,4.71
2/23/2023,abudhabi,187.34,27.5,22.1,16.1,26.8,21.8,16.2,0,0,0,0,0,0,14.7,24.8,4.45
2/24/2023,abudhabi,192.37,32.6,24.2,17.6,28.9,22.2,15.5,0,0,0,0,0,3,20,34.9,5.93
2/25/2023,abudhabi,191.18,32.5,24.7,20,30.9,22.7,16,0,0,0,0,0,3,29.2,46.1,6.41
2/26/2023,abudhabi,169.93,33.3,26.3,21.4,31,24.8,19.1,0,0,0,0,0,0,26.6,42.5,6.74
2/27/2023,abudhabi,176.29,31.1,25.2,21.2,30,23.9,19.3,0,0,0,0,0,3,20.4,30.2,5.36
2/28/2023,abudhabi,183.98,32.5,25.2,22.2,30.3,24.2,20.8,0,0,0,0,0,3,25.2,40,5.95
3/1/2023,abudhabi,191.71,24.9,22.7,21.2,24.6,23.1,21.5,1.5,1.5,0,0,4,53,24.8,40.3,3.31
3/2/2023,abudhabi,174.25,25.1,22.5,20.2,26.5,23.9,21.4,0,0,0,0,0,3,20.4,35.6,3.79
3/3/2023,abudhabi,177.77,24.9,22.4,20.5,27.6,23.6,21.3,0,0,0,0,0,0,22.5,37.8,3.96
3/4/2023,abudhabi,166.72,25.6,22.2,19.2,26.9,23.2,20.5,0,0,0,0,0,0,19.1,34.9,4.3
3/5/2023,abudhabi,165.65,25.7,21.8,18.7,27.3,23.4,20.5,0,0,0,0,0,3,18.7,32.4,3.89
3/6/2023,abudhabi,189.75,28.7,24,19.7,29.3,25.1,21.4,0,0,0,0,0,3,15.3,29.2,4.65
3/7/2023,abudhabi,196.27,30.2,24.1,18.4,29.8,24.5,19,0,0,0,0,0,3,18.7,30.6,5.12
3/8/2023,abudhabi,179.14,31.9,24,18.5,32.2,24.4,19.5,0,0,0,0,0,3,23.1,36.4,4.85
3/9/2023,abudhabi,192.04,35.1,27.1,20.9,32,25.5,20.7,0,0,0,0,0,3,25.4,40.7,6.81
3/10/2023,abudhabi,184.34,33.3,27.1,24.3,31.6,25.9,20.6,0,0,0,0,0,3,29.4,45,6.51
3/11/2023,abudhabi,172.26,28.8,26.1,23.2,29.3,25.9,22.9,0,0,0,0,0,3,23.2,39.2,5.82
3/12/2023,abudhabi,184.34,33.8,27,22.5,33,26.3,22,0,0,0,0,0,3,23.1,37.8,6.66
3/13/2023,abudhabi,198.46,33.5,26.5,23.2,30.1,24.6,21.9,0.4,0.4,0,0,3,51,42.3,63,5.91
3/14/2023,abudhabi,179.57,28.3,25,22.6,28.9,25.7,23.1,0,0,0,0,0,3,22.1,38.2,5.26
3/15/2023,abudhabi,198.78,29.6,25.2,21.6,30.8,26.8,24.1,0,0,0,0,0,3,17.7,29.2,5.03
3/16/2023,abudhabi,148.56,29.2,25.6,23.3,31.1,26.7,24.7,0,0,0,0,0,1,21,37.8,5.3
3/17/2023,abudhabi,189.86,26,24.1,22.7,26.1,23.8,21.7,0,0,0,0,0,0,28.1,45.4,5.38
3/18/2023,abudhabi,181.04,25.7,23.2,21.4,26.4,23.1,20.7,0,0,0,0,0,3,23.9,37.8,5.28
3/19/2023,abudhabi,176.41,28.2,23.9,20.4,26.1,23.3,21.2,0.3,0.3,0,0,3,51,28,42.1,4.85
3/20/2023,abudhabi,181.1,30.3,25.6,21.8,31.3,26.1,22.7,0,0,0,0,0,1,18.4,32.8,5.52
3/21/2023,abudhabi,156.15,35.2,26.3,23.1,31.2,24.6,21.1,0,0,0,0,0,2,38.7,59.8,6.9
3/22/2023,abudhabi,177.36,25.7,23.6,22.3,24.1,20.8,17.3,0,0,0,0,0,0,35.1,50,7.16
3/23/2023,abudhabi,184.29,24.8,22.8,21.1,21.6,19.7,18.5,0,0,0,0,0,0,31.5,50.8,6.8
3/24/2023,abudhabi,197.73,24.5,22.5,20.9,24.7,21.4,18.9,0,0,0,0,0,3,26.8,40,5.64
3/25/2023,abudhabi,173.78,25.1,22.5,20.3,25.9,23.2,20.9,0,0,0,0,0,1,18.4,32.4,4.76
3/26/2023,abudhabi,170.3,30.3,24.2,19,30.7,25.2,20.2,0,0,0,0,0,3,22.9,33.8,5.37
3/27/2023,abudhabi,173.98,31.5,26.7,23.9,30.3,26.1,21.1,0,0,0,0,0,3,49.2,73.4,5.73
3/28/2023,abudhabi,190.98,27.9,25,23.4,28.3,25,20.9,0.2,0.2,0,0,1,51,27,37.4,5.99
3/29/2023,abudhabi,183.95,25.9,23.7,21.9,23.6,21.1,19.5,0,0,0,0,0,0,34.8,54.4,6.84
3/30/2023,abudhabi,173.64,25.7,23.1,20.4,26.4,22.9,20.8,0,0,0,0,0,0,21.6,37.4,5.43
3/31/2023,abudhabi,186.16,26.6,23.1,18.8,27.6,23.8,19.5,0,0,0,0,0,3,25.7,44.3,5.05
4/1/2023,abudhabi,181.16,27.1,23.8,21.1,27.8,24.6,22,0,0,0,0,0,1,28.3,46.4,4.89
4/2/2023,abudhabi,191.62,23.7,22.2,21.1,21.7,19.2,17.2,0,0,0,0,0,3,35.5,55.4,5.86
4/3/2023,abudhabi,171.58,24.2,22,20.5,21.7,18.8,16.4,0,0,0,0,0,1,37.5,54.4,6.29
4/4/2023,abudhabi,176.07,25.4,22.9,20.9,23.7,20.8,18.6,0,0,0,0,0,0,33.2,52.6,6.26
4/5/2023,abudhabi,175.29,25.9,23.2,20.8,25.9,22.7,19.9,0,0,0,0,0,1,26.2,43.6,5.67
4/6/2023,abudhabi,162.44,26.5,23.1,20.2,28,23.5,20.5,0,0,0,0,0,0,22.4,37.1,5.44
4/7/2023,abudhabi,183.55,26.6,22.7,18.1,28.2,24.1,19.4,0,0,0,0,0,3,20.8,36.4,4.92
4/8/2023,abudhabi,183.13,28.4,24.8,21.9,30.3,25.6,23.6,0,0,0,0,0,3,25.4,41,5.12
4/9/2023,abudhabi,180.06,27.8,24.8,22,28.3,26,24.2,0,0,0,0,0,3,22.6,38.9,5.45
4/10/2023,abudhabi,177.18,30.2,25.1,21,31.9,27.1,23,0,0,0,0,0,3,19.1,34.2,5.38
4/11/2023,abudhabi,163.02,33.7,26.7,21.4,33.8,27.4,23.4,0,0,0,0,0,3,26.3,39.2,6.1
4/12/2023,abudhabi,174.95,33.2,27.9,23.1,36.3,28.6,23.8,0,0,0,0,0,1,22.6,38.5,6.7
4/13/2023,abudhabi,175.89,35.2,29.6,27.2,34.8,29.3,26.4,0,0,0,0,0,3,35.7,63.7,7.29
4/14/2023,abudhabi,170.37,28.6,26.5,24.7,29.2,27.6,25.2,0,0,0,0,0,3,41.2,61.6,4.83
4/15/2023,abudhabi,178.06,27.5,25.3,24,25,23.6,21.4,0,0,0,0,0,3,39,60.5,6.97
4/16/2023,abudhabi,184.85,27.3,25.1,23.3,26.7,23.5,22.1,0,0,0,0,0,3,28.4,46.4,6.82
4/17/2023,abudhabi,202.63,27.7,25.4,23.4,26.5,24.3,22.5,0,0,0,0,0,3,27.4,45.7,6.48
4/18/2023,abudhabi,182.09,28.6,25.5,22.9,27.8,25.8,23.5,0,0,0,0,0,3,21.6,38.5,5.52
4/19/2023,abudhabi,183.09,28.2,25.2,22.8,28.2,25.5,23.7,0,0,0,0,0,3,22.5,37.4,5.97
4/20/2023,abudhabi,179.11,28.5,25.5,22,28.3,25.6,22.6,0,0,0,0,0,3,20.3,36.4,5.71
4/21/2023,abudhabi,156.97,31.4,26.6,21.8,30.6,26.8,22.7,0,0,0,0,0,0,17.5,32.8,6.35
4/22/2023,abudhabi,179.68,32.8,27,22.6,33.4,27.1,23,0,0,0,0,0,3,19.3,32,6.41
4/23/2023,abudhabi,180.72,31.4,26.8,22.5,31.9,27.7,24.5,0,0,0,0,0,3,22.4,37.1,5.73
4/24/2023,abudhabi,209.56,32,27.7,22.8,33.3,29,24.9,0,0,0,0,0,3,17.7,32.8,6.02
4/25/2023,abudhabi,177.69,34.8,28.7,24.8,36.1,29.6,26.3,0,0,0,0,0,3,26.4,41.4,6.65
4/26/2023,abudhabi,183.62,31.3,27.5,24.5,31.6,28.4,25.6,0,0,0,0,0,3,29.7,46.8,6.08
4/27/2023,abudhabi,179.58,30.9,27.2,24.3,30.5,28.3,26.4,0,0,0,0,0,3,21.3,37.1,6.39
4/28/2023,abudhabi,165.98,31.5,27,22.8,31.3,27.9,24.1,0,0,0,0,0,0,18.9,34.2,6.55
4/29/2023,abudhabi,193.71,33.2,27.6,22,32.5,28.2,23.6,0,0,0,0,0,0,18.7,32.4,6.63
4/30/2023,abudhabi,189.02,35,29.2,24.2,35,28.9,23.1,0,0,0,0,0,0,16.5,31.3,7.43
5/1/2023,abudhabi,189.49,35.7,29.9,24.4,35.6,30.4,25.5,0,0,0,0,0,0,17.3,32,7.3
5/2/2023,abudhabi,169.09,31.6,28.1,24.7,33.8,29.8,25.9,0,0,0,0,0,0,28.7,43.9,6.8
5/3/2023,abudhabi,196.83,30.5,27.7,25.3,29.5,26.7,25.2,0,0,0,0,0,0,37.4,58,8.13
5/4/2023,abudhabi,163.18,31.5,29,26.8,30.7,28,25.8,0,0,0,0,0,0,35.3,55.4,8.72
5/5/2023,abudhabi,187.04,29.9,27.2,24.6,29.7,26.8,24.9,0,0,0,0,0,0,30.6,49.7,7.53
5/6/2023,abudhabi,206.29,29.3,25.7,22.7,31.6,27,23.7,0,0,0,0,0,0,19.7,34.6,6.23
5/7/2023,abudhabi,168.11,32.1,26,21,35.8,28.8,23.3,0,0,0,0,0,0,19.5,34.9,5.9
5/8/2023,abudhabi,173.2,36.3,28.3,22.1,36.4,29.9,25.1,0,0,0,0,0,1,18.7,32.4,6.76
5/9/2023,abudhabi,181.2,39.1,31.1,25.3,37.6,30.6,25.2,0,0,0,0,0,3,27.2,42.1,8.25
5/10/2023,abudhabi,173.96,38.1,31.3,26.5,36.7,31.1,25.6,0,0,0,0,0,0,19.3,35.3,8.11
5/11/2023,abudhabi,161.39,38.4,31.2,25.7,37.2,31.5,27.7,0,0,0,0,0,2,25.5,43.2,7.95
5/12/2023,abudhabi,180.82,35.7,30.7,26,36.5,32.9,29,0,0,0,0,0,3,22.2,36.4,7.27
5/13/2023,abudhabi,167.25,37,31.6,27.7,37.4,33.4,30.8,0,0,0,0,0,0,25.1,43.2,7.96
5/14/2023,abudhabi,185.68,38.5,31.7,26.1,36.6,32.8,29,0,0,0,0,0,0,27,45.4,8.5
5/15/2023,abudhabi,168.97,33.3,30.2,27.7,32.9,30.7,28.2,0,0,0,0,0,1,28.6,46.8,8.4
5/16/2023,abudhabi,198.6,34.1,30.3,26.9,35,31,27.7,0,0,0,0,0,3,27.5,44.6,8.08
5/17/2023,abudhabi,170.6,37.2,31.9,27.7,38,33.7,30.6,0,0,0,0,0,3,17.7,31.3,7.83
5/18/2023,abudhabi,176.14,40.6,32.3,27.9,39.8,33.8,30.4,0,0,0,0,0,3,27.3,47.2,7.83
5/19/2023,abudhabi,189.76,38.2,32.6,28,38.7,34.4,31.2,0,0,0,0,0,3,26,48.2,8.03
5/20/2023,abudhabi,165.23,40.8,33.3,28.5,41.3,35.3,32.4,0,0,0,0,0,3,30.1,45,7.67
5/21/2023,abudhabi,182.73,38.6,33.2,29.6,39.8,35.3,32.6,0,0,0,0,0,3,19.5,47.5,7.22
5/22/2023,abudhabi,195.69,37.3,32.8,29.8,38.6,35.7,33.9,0,0,0,0,0,3,21.9,38.5,6.86
5/23/2023,abudhabi,160.71,37.1,32.3,29.8,38.7,35.1,32.5,0,0,0,0,0,3,18.5,33.8,7.13
5/24/2023,abudhabi,182.22,36.8,32,28.1,38.4,34,30.9,0,0,0,0,0,3,21.4,36.7,7.22
5/25/2023,abudhabi,183.12,38.6,32.4,28.1,38.6,34.3,32.1,0,0,0,0,0,3,26.5,46.1,7.21
5/26/2023,abudhabi,189.38,39.1,33.1,27.9,40,35.3,32.4,0,0,0,0,0,3,21.3,36.7,7.82
5/27/2023,abudhabi,165.16,37.5,33,29.1,39,35.4,33.2,0,0,0,0,0,3,23,42.1,8.16
5/28/2023,abudhabi,164.15,37.5,33.2,29.8,37.5,34.7,32.2,0,0,0,0,0,3,27.7,45,9.07
5/29/2023,abudhabi,186.26,35.6,31.5,27.6,39.2,35.5,32.6,0,0,0,0,0,3,16.3,31.3,7.02
5/30/2023,abudhabi,183.56,36,31.6,27.2,41.5,36.7,33.3,0,0,0,0,0,3,21.8,38.5,6.85
5/31/2023,abudhabi,183.01,35.3,32.1,28.5,38.4,36.4,34.1,0,0,0,0,0,3,30.6,50,7.02
6/1/2023,abudhabi,184.16,35.8,32.7,29.9,37.2,35.4,34.1,0,0,0,0,0,3,29.7,47.9,8.16
6/2/2023,abudhabi,171.84,35.8,32.9,30.9,35.5,33.5,31.3,0,0,0,0,0,3,34.7,54.7,9.83
6/3/2023,abudhabi,182.79,34.8,31.8,29.2,38.4,34.7,31,0,0,0,0,0,3,22,36.4,7.68
6/4/2023,abudhabi,183.52,35.8,31.5,28.2,41.5,36.5,34,0,0,0,0,0,0,22.7,37.1,6.62
6/5/2023,abudhabi,171.43,40.8,32.6,28.3,42.2,37.1,33.2,0,0,0,0,0,0,29.8,47.9,7.14
6/6/2023,abudhabi,202.39,42.2,34.6,29.5,43.2,37,33.1,0,0,0,0,0,0,29.3,47.2,8.87
6/7/2023,abudhabi,185.69,36.5,32.6,29.5,39.2,37,34.7,0,0,0,0,0,0,25.1,41.4,7.27
6/8/2023,abudhabi,165.7,38,33.4,29.5,40.2,36.9,34.7,0,0,0,0,0,1,21.9,37.8,7.82
6/9/2023,abudhabi,187.88,39.9,34.4,29.7,41.2,36.6,31.1,0,0,0,0,0,0,16.3,31,8.06
6/10/2023,abudhabi,168.3,37.1,33.5,30.8,40.4,37.7,35.4,0,0,0,0,0,3,23.3,39.6,7.39
6/11/2023,abudhabi,189.45,38.2,33.3,29.5,44.1,39.1,35.9,0,0,0,0,0,0,20.4,36,7.02
6/12/2023,abudhabi,193.9,38.8,34,29.9,43.1,38.6,35.5,0,0,0,0,0,2,23.3,42.5,7.49
6/13/2023,abudhabi,170.15,38.7,34.9,30.6,41.8,39.6,36.6,0,0,0,0,0,3,25.2,42.5,7.88
6/14/2023,abudhabi,191.56,38.5,35.2,32.6,40.8,37.8,35.2,0,0,0,0,0,3,35.7,56.2,9.84
6/15/2023,abudhabi,184.95,36.9,34,31.9,41.6,37.3,33.7,0,0,0,0,0,3,28.3,41.4,8.83
6/16/2023,abudhabi,189.86,38.1,34.9,32.9,39.4,37.1,35.4,0,0,0,0,0,3,34.2,53.6,9.89
6/17/2023,abudhabi,202.76,36.4,33.8,31.3,38.6,35.6,34.1,0,0,0,0,0,3,31.4,49.7,9.55
6/18/2023,abudhabi,177.06,35.5,32.4,29.9,38.5,35.6,32.6,0,0,0,0,0,0,22.1,38.2,7.69
6/19/2023,abudhabi,170.96,34.2,31.7,29.1,41.1,37.5,35.3,0,0,0,0,0,3,21.4,38.2,6.31
6/20/2023,abudhabi,169.33,39.5,33.9,30.5,43.2,38.7,36.4,0,0,0,0,0,0,20.9,34.9,7.31
6/21/2023,abudhabi,170.21,36.5,33.3,29.9,41,38.4,35.6,0,0,0,0,0,2,20.6,34.9,7.12
6/22/2023,abudhabi,179.07,36.4,33.3,30.8,40.8,37.4,35.1,0,0,0,0,0,3,23.6,37.8,7.78
6/23/2023,abudhabi,184.09,37.2,33.9,31.4,40.5,37.3,35.3,0,0,0,0,0,3,24.5,42.5,8.44
6/24/2023,abudhabi,183.32,38.5,35.3,32.5,39.8,37.3,35.6,0,0,0,0,0,3,32.1,51.1,9.9
6/25/2023,abudhabi,189.93,37.2,34.8,32.6,40.9,37.6,35.5,0,0,0,0,0,0,25.3,41.4,9.17
6/26/2023,abudhabi,180.16,37,33.3,30,39.8,37.4,34.7,0,0,0,0,0,2,23.7,40.7,7.41
6/27/2023,abudhabi,197.44,37.3,32.7,29.4,43.1,38.9,36.7,0,0,0,0,0,3,22.5,37.4,6.56
6/28/2023,abudhabi,176.82,41.9,34.6,31.7,45.2,40.7,36.6,0,0,0,0,0,3,27.2,44.3,7.18
6/29/2023,abudhabi,212.64,39.8,33.7,30.6,45.2,40.4,38.4,0,0,0,0,0,3,27.3,44.6,6.57
6/30/2023,abudhabi,187.51,37.5,33.5,30,41.7,38.2,36.6,0,0,0,0,0,3,22.5,37.8,7.33
7/1/2023,abudhabi,169.71,38.5,34.3,30.7,41.5,38.6,36.1,0,0,0,0,0,0,25,41,8.09
7/2/2023,abudhabi,167.15,37.7,33.9,30.2,40.4,37.7,34.7,0,0,0,0,0,2,32.4,50.4,7.95
7/3/2023,abudhabi,185.79,37.3,33.2,29.7,41.6,38.4,35.2,0,0,0,0,0,3,19,32,7
7/4/2023,abudhabi,177.32,37.2,32.9,29.9,44.2,40,38,0,0,0,0,0,3,23.8,38.5,6.38
7/5/2023,abudhabi,188.57,37.4,33.6,30.3,41,39.1,37.1,0,0,0,0,0,2,24.1,39.6,7.17
7/6/2023,abudhabi,185.68,38.2,33.6,29.8,43.6,39.9,37.1,0,0,0,0,0,2,22.2,37.4,6.67
7/7/2023,abudhabi,179.13,40.7,34.3,31.1,46.6,42,40.2,0,0,0,0,0,3,26.1,43.2,6.34
7/8/2023,abudhabi,169.84,41.3,34.7,31.2,46.8,42.3,40.4,0,0,0,0,0,3,26.9,43.9,6.7
7/9/2023,abudhabi,161.82,44.2,34.5,30.2,45.7,41.1,38.9,0,0,0,0,0,3,27.5,46.4,7.09
7/10/2023,abudhabi,174.64,43.8,35.3,30.5,46.5,41.5,38.9,0,0,0,0,0,3,26.3,42.5,7.52
7/11/2023,abudhabi,190.28,44.1,36.2,31.4,45.6,41.1,36.2,0,0,0,0,0,3,30.1,46.4,7.92
7/12/2023,abudhabi,182.57,39.9,34.7,30.8,42.7,41,38.7,0,0,0,0,0,3,23.4,38.5,6.98
7/13/2023,abudhabi,165.05,39.9,35.1,32.2,45.7,41.8,38.4,0,0,0,0,0,3,18.4,31,6.86
7/14/2023,abudhabi,182.08,42.7,35.5,32.1,45.9,42.4,40.2,0,0,0,0,0,3,23,38.2,7.11
7/15/2023,abudhabi,184.62,45.4,38.2,33.2,46.6,41.9,37.1,0,0,0,0,0,3,29.2,45,9.41
7/16/2023,abudhabi,169.39,45,37.2,33,45.9,42.5,39.3,0,0,0,0,0,3,28.9,45.7,8.17
7/17/2023,abudhabi,181.84,39.7,34.9,31.5,43.9,41.1,38.5,0,0,0,0,0,3,22.1,37.8,6.95
7/18/2023,abudhabi,180.7,38.2,34,30.9,45.7,41.3,38.3,0,0,0,0,0,3,23.6,40,6.44
7/19/2023,abudhabi,166.28,37.6,33.7,30.3,44.9,41.5,38.9,0,0,0,0,0,3,21.7,36.7,6.23
7/20/2023,abudhabi,184.29,39.8,35,30.7,43.7,41.1,37.9,0,0,0,0,0,3,20.7,36,7.32
7/21/2023,abudhabi,186.73,39.5,34.5,30.4,46.5,42.4,39,0,0,0,0,0,3,20.1,33.1,6.41
7/22/2023,abudhabi,193,44.4,36.5,33.1,46.7,42.7,38.6,0,0,0,0,0,3,27.4,44.6,7.83
7/23/2023,abudhabi,192.65,38.1,34.8,31.6,46.7,43.4,41.4,0,0,0,0,0,3,20.8,35.6,6.23
7/24/2023,abudhabi,163.47,43.8,36.8,33.7,46.6,42.4,37.4,0,0,0,0,0,3,29.6,44.6,8.11
7/25/2023,abudhabi,168.75,41.5,36.4,33.3,46.8,43.2,40.4,0,0,0,0,0,3,25.5,42.5,7.03
7/26/2023,abudhabi,186.18,43.4,37.7,34.7,47.8,41.7,36.6,0,0,0,0,0,3,27.3,43.6,8.61
7/27/2023,abudhabi,186.17,42.5,37.3,34.7,47.2,41.1,37.6,0,0,0,0,0,3,27.8,43.2,9.03
7/28/2023,abudhabi,186.18,41.3,36.5,33.9,45.7,42.4,40.9,0,0,0,0,0,3,25.4,44.3,7.43
7/29/2023,abudhabi,226.23,37.7,34.3,31.8,44.6,41.8,40,0,0,0,0,0,3,18.4,33.1,6.24
7/30/2023,abudhabi,186.85,37.8,34.4,30.3,44.5,41.4,39.3,0,0,0,0,0,3,19.2,33.5,6.65
7/31/2023,abudhabi,193.63,39.2,34.8,30.5,42.9,40.9,38.5,0,0,0,0,0,3,24.4,40,7.03
8/1/2023,abudhabi,191.45,41.2,34.9,29.8,43.3,40.3,36.1,0,0,0,0,0,2,20.4,34.6,7.01
8/2/2023,abudhabi,187.82,39.9,35,30.2,43.3,40.5,36,0,0,0,0,0,3,19.3,33.5,6.96
